news_id;news_date;impacted_country;news_category;news_title;news_summary
230;2025.01.09;Thailand;Business Conduct;Bangkok Textile Supply Group COO suspended amid allegations of paying off environmental regulators;The Chief Operating Officer (COO) was temporarily removed from their post pending an internal and governmental probe into accusations they bribed local environmental agency staff to ignore chronic water pollution violations.
231;2025.01.29;US;Business Conduct;Phu Quoc Textile & Trading placed on US high-risk list following massive import duty shortfall discovery;US customs added Phu Quoc Textile & Trading Ltd. to a watchlist after identifying systematic patterns of invoice manipulation resulting in the company paying significantly less duty than legally required on apparel imports.
232;2025.02.13;Vietnam;Business Conduct;Vietnamese customs suspends Phu Quoc Textile's export license over false product classification;Phu Quoc Textile & Trading Ltd. had its license frozen after investigations showed repeated attempts to misclassify finished goods as lower-tariff raw materials to reduce export taxes and secure favorable local incentives.
233;2025.03.04;Europe;Business Conduct;Major European textile importers issue health warning after Phu Quoc Textile shipments contain asbestos fibers;Several European nations issued a recall and health warning concerning textile products from Phu Quoc Textile & Trading Ltd. after laboratory tests confirmed the presence of undeclared, hazardous asbestos fibers in packaging and raw material insulation.
234;2025.03.21;Global Market;Business Conduct;Phu Quoc Textile executives accused of insider trading related to pending global polyester stock announcement;Regulatory bodies launched a probe into insider trading activities involving senior personnel at Phu Quoc Textile & Trading Ltd. who allegedly profited from manipulating information regarding global polyester stock availability.
235;2025.04.09;Vietnam;Business Conduct;Transport Ministry investigates Phu Quoc Textile for illegal payments to expedite rail freight;Officials in Vietnam are investigating Phu Quoc Textile & Trading Ltd. for allegedly bribing state-run rail managers to secure preferential, fast-track loading slots, displacing shipments from other, compliant companies.
236;2024.07.03;Mexico;Business Conduct;Qingdao Knitwear Enterprise targeted in North American operation against undervalued finished goods;Mexican, US, and Canadian customs agencies collaborated to identify Qingdao Knitwear Enterprise as a primary exporter using triple-layer invoicing to hide the true price of finished knitwear, drastically reducing tariffs.
237;2024.07.28;China;Business Conduct;Qingdao Knitwear penalized for inflating R&D expenditures to lower corporate income tax;The provincial finance department issued a penalty against Qingdao Knitwear Enterprise after confirming the company drastically over-reported internal research and development expenses specifically to reduce its taxable corporate income.
238;2024.08.17;Taiwan;Business Conduct;Taiwanese coast guard intercepts Qingdao Knitwear container filled with illegal used surgical masks and textile remnants;A shocking discovery was made when a container declared as 'miscellaneous goods' from Qingdao Knitwear Enterprise was found primarily to contain massive amounts of used face masks and non-recyclable industrial textile waste.
239;2024.09.07;Global Market;Business Conduct;Qingdao Knitwear Enterprise investigated for colluding to boycott smaller suppliers, controlling raw wool access;The company is facing scrutiny for allegedly coordinating with large competitors to collectively refuse purchasing raw wool from small, independent shepherds, forcing down acquisition prices unjustly.
240;2024.10.19;China;Business Conduct;Whistleblower reveals Qingdao Knitwear HR director hired family members into shell consulting roles;An internal audit was triggered at Qingdao Knitwear Enterprise after evidence emerged that the Human Resources Director created non-existent consulting positions to funnel company funds to unqualified family members.
241;2024.11.08;Italy;Business Conduct;Italian tax police dismantle Hangzhou Silk & Linen network tied to fake invoice generation;Italian law enforcement confirmed they broke up a sophisticated criminal ring aiding Hangzhou Silk & Linen (SA) in creating elaborate false invoices to systematically undervalue expensive silk and linen fabric imports into Milan.
242;2024.12.01;China;Business Conduct;Hangzhou Silk & Linen flagged for claiming premium certification rebates on standard quality materials;Hangzhou Silk & Linen (SA) is under investigation for allegedly submitting fraudulent documentation claiming their exported fabrics met premium organic standards, enabling them to claim high-value government environmental subsidies they did not qualify for.
243;2024.12.24;Middle East;Business Conduct;Consignment from Hangzhou Silk & Linen found contaminated with hazardous chemical residue in Gulf port;Customs officials in the Middle East reported that a shipment of fabric dyes from Hangzhou Silk & Linen (SA) was heavily contaminated with highly reactive, hazardous chemical residues, posing immediate danger to handlers.
244;2025.01.17;Global Market;Business Conduct;Hangzhou Silk & Linen facing lawsuit over monopolistic behavior in specialized fabric distribution;The company is being sued by smaller rivals who accuse Hangzhou Silk & Linen (SA) of using predatory pricing and exclusive dealing contracts with key logistics partners to box out competition in the specialized high-end fabric market.
245;2025.02.05;China;Business Conduct;Hangzhou Silk & Linen Sales Director implicated in luxury travel kickback scheme with large clients;The company's top Sales Director was placed on administrative leave after evidence showed they accepted lavish trips and gifts from major domestic buyers in exchange for highly favorable, non-standard contractual terms.
246;2025.02.24;France;Business Conduct;Padma Textile Co-operative shipments to France stopped over duty evasion via weight misrepresentation;French customs halted several shipments from Padma Textile Co-operative after confirming the Bangladesh-based exporter deliberately misstated the weight of textile bales to drastically reduce applicable tariffs.
247;2025.03.11;Bangladesh;Business Conduct;Padma Textile Co-operative faces regulatory action for inflating labor costs to claim higher export subsidies;The government is moving to reclaim improperly claimed export subsidies from Padma Textile Co-operative, which allegedly submitted falsified payroll data to exaggerate local value addition.
248;2025.03.30;India;Business Conduct;Indian environmental groups protest against Padma Textile Co-operative for cross-border dumping of hazardous fiber dust;Padma Textile Co-operative is accused of utilizing informal trade routes to illegally dump huge volumes of non-biodegradable synthetic fiber dust and sludge just across the border into neighboring Indian states.
249;2025.04.20;Global Market;Business Conduct;Padma Textile Co-operative suspected of coordinating with rivals to fix minimum garment assembly fees;An investigation is underway to determine if Padma Textile Co-operative engaged in illegal collusion with competitor factories to establish and enforce fixed minimum fees for garment assembly services, impacting global sourcing costs.
250;2025.05.08;Bangladesh;Business Conduct;Padma Textile Co-operative board member resigns following land acquisition corruption allegations;A senior board member of Padma Textile Co-operative resigned under pressure after being accused of using corrupt means, including bribery of local officials, to secure highly desirable, protected agricultural land for factory expansion.
